monitoringResource,org:resource,activityNameNL,concept:name,question,dateFinished,action_code,activityNameEN,planned,lifecycle:transition,time:timestamp,case:Includes_subCases,case:concept:name,case:Responsible_actor,case:endDate,case:caseStatus,case:parts,case:caseProcedure,case:last_phase,case:case_type,case:startDate,case:requestComplete,case:SUMleges,case:IDofConceptCase,case:termName,case:landRegisterID,dueDate,dateStop
4634935,560530,registratie datum binnenkomst aanvraag,01_HOOFD_010,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_010,register submission date request,2012-03-23 09:21:14+00:00,complete,2012-03-20 23:00:00+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,OLO berichtenverkeer actief,01_HOOFD_011,False,2013-01-10 12:07:35+00:00,01_HOOFD_011,OLO messaging active,2012-03-23 09:26:05+00:00,complete,2012-03-22 09:26:08+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,versturen ontvangstbevestiging,01_HOOFD_020,True,2013-01-10 12:07:35+00:00,01_HOOFD_020,send confirmation receipt,,complete,2012-03-22 09:26:08+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,fase aanvraag ontvangen,01_HOOFD_015,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_015,phase application received,,complete,2012-03-22 09:26:08+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,aanvrager is belanghebbende,03_GBH_005,True,2013-01-10 12:07:35+00:00,03_GBH_005,applicant is stakeholder,,complete,2012-03-22 09:26:09+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,beeindigen op verzoek,05_EIND_010,False,2013-01-10 12:07:35+00:00,05_EIND_010,terminate on request,,complete,2012-03-22 09:26:09+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,invoeren verzenddatum ontvangstbevestiging,01_HOOFD_030_2,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_030_2,enter senddate acknowledgement,2012-03-23 09:26:13+00:00,complete,2012-03-22 09:26:13+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,versturen ontvangstbevestiging,01_HOOFD_030_1,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_030_1,send confirmation receipt,2012-03-23 09:26:08+00:00,complete,2012-03-22 09:26:13+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,doorsturen aan bevoegd gezag,02_DRZ_010,False,2013-01-10 12:07:35+00:00,02_DRZ_010,forward to the competent authority,,complete,2012-03-22 09:26:15+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,BAG beheerder informeren,01_HOOFD_050,False,2013-01-10 12:07:35+00:00,01_HOOFD_050,inform BAG administrator,,complete,2012-03-22 09:26:15+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,reguliere procedure zonder MER,04_BPT_005,False,2013-01-10 12:07:35+00:00,04_BPT_005,regular procedure without MER,2012-03-23 09:26:15+00:00,complete,2012-03-22 09:26:21+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,MER aanwezig,04_BPT_010,False,2013-01-10 12:07:35+00:00,04_BPT_010,MER present,,complete,2012-03-22 09:26:21+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,activiteiten reguliere procedure,04_BPT_020,Uitgebreid,2013-01-10 12:07:35+00:00,04_BPT_020,activities regular procedure,2012-03-23 09:26:21+00:00,complete,2012-03-22 09:26:24+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,560530,gefaseerde aanvraag,04_BPT_030,False,2013-01-10 12:07:35+00:00,04_BPT_030,phased application,,complete,2012-03-22 09:26:24+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,4634935,procedurebevestiging versturen,01_HOOFD_065_1,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_065_1,send procedure confirmation,2012-03-23 09:26:25+00:00,complete,2012-12-19 08:43:57+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,4634935,invoeren verzenddatum procedurebevestiging,01_HOOFD_065_2,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_065_2,enter senddate procedure confirmation,2012-12-20 08:43:57+00:00,complete,2012-12-19 08:43:57+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,4634935,publiceren,01_HOOFD_090,False,2013-01-10 12:07:35+00:00,01_HOOFD_090,publish,2012-12-20 08:44:52+00:00,complete,2012-12-19 08:44:52+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,4634935,WAW vergunningsaspect,01_HOOFD_130,False,2013-01-10 12:07:35+00:00,01_HOOFD_130,WAW permit aspect,2012-12-20 08:44:52+00:00,complete,2012-12-19 08:44:52+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
4634935,4634935,behandelen deelzaken volledigheid,01_HOOFD_110_1,EMPTY,2013-01-10 12:07:35+00:00,01_HOOFD_110_1,treat subcases completeness,2012-12-20 08:44:52+00:00,complete,2012-12-19 08:46:37+00:00,J,10358444,4634935,2013-09-29 22:00:00+00:00,G,Milieu (vergunning),Uitgebreid,Zaak afgehandeld,557669,2012-03-20 23:00:00+00:00,False,,,,,,
