question,dateFinished,dueDate,action_code,activityNameEN,planned,time:timestamp,monitoringResource,org:resource,activityNameNL,concept:name,lifecycle:transition,case:concept:name,case:Responsible_actor,case:endDate,case:caseStatus,case:parts,case:SUMleges,case:last_phase,case:case_type,case:startDate,case:requestComplete,case:IDofConceptCase,case:termName,case:caseProcedure,case:landRegisterID,case:Includes_subCases,dateStop,case:endDatePlanned
EMPTY,2014-08-06 00:00:00+00:00,2014-08-11 06:28:55+00:00,01_HOOFD_010,register submission date request,2014-08-07 06:28:55+00:00,2014-08-04 22:00:00+00:00,560752,560752,registratie datum binnenkomst aanvraag,01_HOOFD_010,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
True,2014-08-06 00:00:00+00:00,,04_BPT_005,regular procedure without MER,2014-08-07 06:35:32+00:00,2014-08-05 22:00:00+00:00,1550894,560752,reguliere procedure zonder MER,04_BPT_005,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
True,2014-08-06 00:00:00+00:00,,01_HOOFD_065_0,create procedure confirmation,2014-08-07 06:35:37+00:00,2014-08-05 22:00:00+00:00,1550894,560752,procedurebevestiging aanmaken,01_HOOFD_065_0,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_090,publish,2014-08-07 06:37:32+00:00,2014-08-05 22:00:00+00:00,1550894,560752,publiceren,01_HOOFD_090,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_110_0,create subcases completeness,2014-08-07 06:37:33+00:00,2014-08-05 22:00:00+00:00,1550894,560752,deelzaken volledigheid aanmaken,01_HOOFD_110_0,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_180,procedure change,2014-08-07 06:37:33+00:00,2014-08-05 22:00:00+00:00,1550894,560752,procedure verandering,01_HOOFD_180,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_011,OLO messaging active,2014-08-07 06:35:31+00:00,2014-08-05 22:00:00+00:00,1550894,560752,OLO berichtenverkeer actief,01_HOOFD_011,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,01_HOOFD_020,send confirmation receipt,2014-08-07 06:35:32+00:00,2014-08-05 22:00:00+00:00,1550894,560752,versturen ontvangstbevestiging,01_HOOFD_020,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-06 00:00:00+00:00,,02_DRZ_010,forward to the competent authority,2014-08-07 06:35:32+00:00,2014-08-05 22:00:00+00:00,1550894,560752,doorsturen aan bevoegd gezag,02_DRZ_010,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_065_1,send procedure confirmation,2014-08-07 06:35:37+00:00,2014-08-05 22:00:00+00:00,1550894,560752,procedurebevestiging versturen,01_HOOFD_065_1,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-06 00:00:00+00:00,2014-08-11 06:35:31+00:00,01_HOOFD_015,phase application received,2014-08-07 06:35:31+00:00,2014-08-05 22:00:00+00:00,1550894,560752,fase aanvraag ontvangen,01_HOOFD_015,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_061,start WABOprocedure,2014-08-07 06:35:36+00:00,2014-08-05 22:00:00+00:00,1550894,560752,WABOprocedure instellen,01_HOOFD_061,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-06 00:00:00+00:00,,01_HOOFD_065_2,enter senddate procedure confirmation,2014-08-07 06:37:32+00:00,2014-08-06 06:37:32+00:00,1550894,560752,invoeren verzenddatum procedurebevestiging,01_HOOFD_065_2,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_200,send letter in progress,2014-08-20 11:52:58+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,brief in behandeling versturen,01_HOOFD_200,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_250_0,create subcases content,2014-08-20 11:52:58+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,deelzaken inhoudelijkheid aanmaken,01_HOOFD_250_0,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_330,procedure change,2014-08-20 11:52:59+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,procedure verandering,01_HOOFD_330,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,09_AH_I_010,article 34  WABO applies,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,artikel 34 WABO van toepassing,09_AH_I_010,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_380,grounds for refusal,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,weigeringsgrond,01_HOOFD_380,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_430,ask stakeholders views,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,belanghebbenden zienswijzen vragen,01_HOOFD_430,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,11_AH_II_010,suspension ground applicable,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,aanhoudingsgrond van toepassing,11_AH_II_010,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,13_CRD_010,coordination of application,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,coördinatie van toepassing,13_CRD_010,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_480,by law,2014-08-20 11:53:01+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,van rechtswege,01_HOOFD_480,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_490_2,decision date prior to decision,2014-08-20 11:53:03+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,besluitdatum voorafgaand aan beschikking,01_HOOFD_490_2,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
False,2014-08-19 00:00:00+00:00,,01_HOOFD_491,submit decision,2014-08-20 12:00:47+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,beschikking voorleggen,01_HOOFD_491,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
True,2014-08-19 00:00:00+00:00,,08_AWB45_005,request complete,2014-08-07 06:37:33+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,aanvraag volledig,08_AWB45_005,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
EMPTY,2014-08-19 00:00:00+00:00,,01_HOOFD_494a,phase decision ready,2014-08-20 12:00:47+00:00,2014-08-18 22:00:00+00:00,1550894,1550894,fase beschikking gereed,01_HOOFD_494a,complete,10002357,1550894,2014-08-19 22:00:00+00:00,O,Bouw,398.92447,Besluit onherroepelijk,557669,2014-08-04 22:00:00+00:00,True,10002463.0,,,,,,
