question,dateFinished,dueDate,action_code,activityNameEN,planned,time:timestamp,monitoringResource,org:resource,activityNameNL,concept:name,lifecycle:transition,case:endDate,case:caseStatus,case:SUMleges,case:last_phase,case:case_type,case:concept:name,case:Responsible_actor,case:landRegisterID,case:parts,case:termName,case:startDate,case:requestComplete,case:IDofConceptCase,case:caseProcedure,case:Includes_subCases,case:endDatePlanned,dateStop
EMPTY,2014-01-10 00:00:00+00:00,2014-01-15 07:45:53+00:00,01_HOOFD_010,register submission date request,2014-01-13 07:45:53+00:00,2014-01-05 23:00:00+00:00,8492512,8492512,registratie datum binnenkomst aanvraag,01_HOOFD_010,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
False,2014-01-10 00:00:00+00:00,,01_HOOFD_011,OLO messaging active,2014-01-13 07:55:48+00:00,2014-01-09 23:00:00+00:00,560604,8492512,OLO berichtenverkeer actief,01_HOOFD_011,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
True,2014-01-10 00:00:00+00:00,,01_HOOFD_020,send confirmation receipt,2014-01-13 07:55:49+00:00,2014-01-09 23:00:00+00:00,560604,8492512,versturen ontvangstbevestiging,01_HOOFD_020,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
True,2014-01-10 00:00:00+00:00,,03_GBH_005,applicant is stakeholder,2014-01-13 07:55:49+00:00,2014-01-09 23:00:00+00:00,560604,8492512,aanvrager is belanghebbende,03_GBH_005,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
False,2014-01-10 00:00:00+00:00,,05_EIND_010,terminate on request,2014-01-13 07:55:49+00:00,2014-01-09 23:00:00+00:00,560604,8492512,beeindigen op verzoek,05_EIND_010,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
False,2014-01-10 00:00:00+00:00,,16_LGSV_010,calculate provisional charges,2014-01-13 07:55:49+00:00,2014-01-09 23:00:00+00:00,560604,8492512,voorlopige leges berekenen,16_LGSV_010,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
False,2014-01-10 00:00:00+00:00,2014-01-17 08:12:04+00:00,02_DRZ_010,forward to the competent authority,2014-01-13 08:12:04+00:00,2014-01-09 23:00:00+00:00,560604,8492512,doorsturen aan bevoegd gezag,02_DRZ_010,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
True,2014-01-10 00:00:00+00:00,,04_BPT_005,regular procedure without MER,2014-01-13 08:12:05+00:00,2014-01-09 23:00:00+00:00,560604,8492512,reguliere procedure zonder MER,04_BPT_005,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
False,2014-01-10 00:00:00+00:00,,01_HOOFD_065_0,create procedure confirmation,2014-01-13 08:12:13+00:00,2014-01-09 23:00:00+00:00,560604,8492512,procedurebevestiging aanmaken,01_HOOFD_065_0,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
EMPTY,2014-01-10 00:00:00+00:00,,01_HOOFD_061,start WABOprocedure,2014-01-13 08:12:13+00:00,2014-01-09 23:00:00+00:00,560604,8492512,WABOprocedure instellen,01_HOOFD_061,complete,2014-02-23 23:00:00+00:00,G,186.303,Besluit onherroepelijk,557669,10061280,560604,6966675.0,Bouw,Termijn bezwaar en beroep 1,2014-01-05 23:00:00+00:00,True,10061287.0,,,,
